id,name,intelligence,strength,speed,durability,full-name,aliases,place-of-birth,First Appearance,Release Date,publisher,alignment,gender,race,height,weight,eye-color,hair-color,occupation,base,group-affiliation,relatives,height_cm,weight_kg
376,Justice,50.0,10.0,33.0,70.0,Vance Astrovik,"Marvel Boy, Manglin John Mahoney, Astounding Astrovik, Superhuman Penitentiary Prisoner 344678, Super Tights",Unknown,"Giant-Size Defenders #5 (July, 1975)",1975-04-29,Marvel Comics,good,Male,Human,"[""5'10"", '178 cm']","['180 lb', '81 kg']",hazel,brown,Adventurer,"Mobile, formerly New Warriors and Avengers Headquarters, Camp Hammond","New Warriors; formerly Avengers Academy, Initiative, partner of Firestar, Avengers, Triune Understanding, Unlimited Class Wrestling Federation, Taskmaster's Circus, Secret Avengers (Civil War)","Jerzy Astroyevicht (aka Jerry Astrovik; paternal grandfather); Katerina Astroyevicht (aka Katerina Astrovik; paternal grandmother); Arnold Astrovik (father, deceased); Norma Astrovik (mother);",178.0,180.0
386,Killer Croc,19.0,53.0,35.0,90.0,Waylon Jones,Unknown,Unknown,"Batman #357 (March, 1983)",1982-12-16,DC Comics,bad,Male,Metahuman,"[""8'0"", '244 cm']","['790 lb', '356 kg']",red,no hair,Unknown,Gotham City,Secret Society of Super-Villains,Unknown,244.0,790.0
388,Kilowog,81.0,90.0,53.0,42.0,Unknown,"Kilo Wog, Green Lantern 674.1, Dark Lantern, The Green Lantern drill sergeant, Poozer, Lantern",Bolovax Vik,"Green Lantern Corps #201 (June, 1986)",1986-03-04,DC Comics,good,Male,Bolovaxian,"[""7'8"", '234 cm']","['720 lb', '324 kg']",red,no hair,Unknown,"Oa, formerly Earth, Bolovax Vik","Green Lantern Corps; formerly New Guardians, Justice League International",Unknown,234.0,720.0
391,Kingpin,75.0,18.0,25.0,40.0,Wilson Grant Fisk,"The Brain Washer, Harold Howard, Wilbur",New York City area,"Amazing Spider-Man #50 (July, 1967)",1967-04-04,Marvel Comics,bad,Male,Human,"[""6'7"", '201 cm']","['450 lb', '203 kg']",blue,no hair,"Criminal organizer and mastermind, president and owner of legitimate businesses","A penthouse in New York City; formerly Fisk Tower in New York City, a mansion in Westchester County, Las Vegas.","Leader of The Hand, leader of a coalition of East Coast non-Maggia criminal organizations; former director of Las Vegas HYDRA faction.","Anatoly Fyskov (ancestor); Vanessa Fisk (wife, deceased); Rose (Richard Fisk) (son, deceased);",201.0,450.0
392,Klaw,63.0,38.0,33.0,100.0,Ulysses Klaw,Unknown,"Vlaardingen, Netherlands","Fantastic Four #53 (August, 1966)",1966-05-10,Marvel Comics,bad,Male,Human,"[""6'2"", '188 cm']","['216 lb', '97 kg']",red,no hair,"Criminal, former Scientist",Unknown,"Former member of the Masters of Evil, Fearsome Foursome, and Frightful Four; Former ally of Solarr, Molecule Man, and Doctor Doom",Unknown,188.0,216.0
394,Kraven II,50.0,34.0,23.0,28.0,Alyosha Kravinoff,Unknown,Unknown,Spectacular Spider-Man #243 (1997),1996-10-09,Marvel Comics,bad,Male,Human,"[""6'3"", '191 cm']","['220 lb', '99 kg']",brown,black,Unknown,Unknown,Formerly the Sinister Six,"Sergei Kravinoff (Kraven the Hunter, father, deceased), unidentified mother, Vladimir Kravinoff (Grim Hunter, half-brother, deceased), Nedrocci Tannengarden (half-brother, deceased), Dmitri Smerdyakov",191.0,220.0
395,Kraven the Hunter,63.0,32.0,35.0,42.0,Sergei Kravinoff,"Kraven the Hunter, Worlds Greatest Hunter, the Grim Hunter","Volgograd (formerly Stalingrad), Russia",The Amazing Spider-Man #15 (1964),1964-05-12,Marvel Comics,bad,Male,Human,"[""6'0"", '183 cm']","['235 lb', '106 kg']",brown,black,"Professional game hunter, mercenary",Unknown,(formerly) The Sinister Six,"Nikolai & Anna Makarova Kravinoff (parents, deceased), Dmitri Smerdyakov (Chameleon, half-brother), Vladimir Kravinoff (Grim Hunter, son, deceased), Aloysha ""Al"" Kravinoff (Kraven II, son), Ned Tannengarden (son, deceased)",183.0,235.0
396,Krypto,9.0,80.0,100.0,90.0,Krypto the Superdog,Unknown,Unknown,"Adventure Comics #210 (March, 1955)",1955-01-25,DC Comics,good,Male,Kryptonian,"[""0'25"", '64 cm']","['40 lb', '18 kg']",blue,white,Unknown,"Smallville, Kansas",Superman,Unknown,64.0,40.0
397,Kyle Rayner,69.0,90.0,50.0,60.0,Kyle Rayner,"Ion, Kyle Vasquez, Parallax, Torch Bearer, Honor Guard, The Last Green Lantern","North Hollywood, Los Angeles, California",Green Lantern Vol 3 #48,1993-11-30,DC Comics,good,Male,Human,"[""5'11"", '180 cm']","['175 lb', '79 kg']",green,black,"Green Lantern, Adventurer, Artist","Oa,formerly New York City, Los Angeles","Green Lantern Corps, New Guardians, formerly Challengers From Beyond, Sinestro Corps, Justice League of America, Blue Lantern Corps, Titans","Aaron Rayner (father), Maura Rayner (mother, deceased), Zachary Rayner (uncle, deceased), Roderick ""Snowy"" Rayner (grandfather, deceased), unnamed maternal great-grandfather (deceased), Kathleen (aunt), Cary Wren (descendant)",180.0,175.0
400,Lady Deathstrike,63.0,28.0,42.0,85.0,Yuriko Oyama,Ana Cortes,"Osaka, Japan",Alpha Flight Vol. 1 #33 (1985),1986-01-07,Marvel Comics,bad,Female,Cyborg,"[""5'9"", '175 cm']","['128 lb', '58 kg']",brown,black,Unknown,Unknown,"Ally of Reverend William Stryker, former employee of Sabretooth, formerly Reavers","Kenji Oyama (Lord Dark Wind, father, deceased), two unnamed brothers (deceased)",175.0,128.0
403,Legion,50.0,100.0,42.0,30.0,David Haller,"Jack Wayne, Cyndi, Jemail Karami, Daniel Lucas Haller, Daniel Haller, Rodney, Ian, Lucas, Fanya, Boris, Zachary, Sylvester, God-Mutant",Israel,"New Mutants #25 (March, 1985)",1984-12-04,Marvel Comics,good,Male,Mutant,"[""5'9"", '175 cm']","['130 lb', '59 kg']",green / blue,black,"Adventurer, Student","formerly Ruth Aldine's mind, Utopia, San Francisco Bay, California; Westcliffe, Colorado; ""No-Time""; Moira MacTaggart's Mutant Research Center, Muir Island, off the coast of Scotland; Haifa; Paris, France","Formerly X-Men, Muir Island X-Men","Charles Graymalkin (paternal collateral ancestor), Marcia Graymalkin (paternal collateral ancestor), Jonas Graymalkin (paternal collateral ancestor), Brian Xavier (paternal grandfather), Sharon Xavier (paternal grandmother), Kurt Marko (paternal step-grandfather), Cain Marko (paternal step-uncle), Cassandra Nova Xavier (paternal aunt), Charles Xavier (father), Gabrielle Haller (mother), Daniel Shomron (stepfather), Xavier Family (paternal relatives), Ruth Aldine (lover/current body)",175.0,130.0
405,Lex Luthor,100.0,53.0,25.0,65.0,Lex Luthor,Unknown,Unknown,Action Comics #23,1940-02-23,DC Comics,bad,Male,Human,"[""6'2'"", '188 cm']","['210 lb', '95 kg']",green,no hair,Owner of LexCorp,Unknown,"Injustice Gang, Injustice League, Society of Supervillains","Casey and Elaine Griggs (foster parents, deceased),
Lena Luthor (sister pre-Crisis; daughter post-Crisis),
Elizabeth Perske (ex-wife),
Perry J. White Jr. (son, deceased),
Contessa Erica Alexandra del Portenza (wife, assumed deceased)",188.0,210.0
406,Light Lass,38.0,10.0,35.0,28.0,Ayla Ranzz,Unknown,Unknown,Teen Titans/Legion Special #1,2004-12-15,DC Comics,good,Female,Unknown,"[""5'5"", '165 cm']","['120 lb', '54 kg']",blue,red,Unknown,United Planets,"Legion of Super-Heroes, formerly the Wanderers","Unnamd parents, Garth Ranzz (Lightning Lad, twin brother); Mekt Ranzz (older brother)",165.0,120.0
407,Lightning Lad,38.0,10.0,23.0,28.0,Garth Ranzz,"Lightning Boy, Live Wire",Unknown,Teen Titans/Legion Special #1,2004-12-15,DC Comics,good,Male,Unknown,"[""5'1"", '155 cm']","['145 lb', '65 kg']",blue,red,Legionnaire,"Earth, 31st century",Legion of Super-Heroes,Unknown,155.0,145.0
408,Lightning Lord,44.0,10.0,23.0,42.0,Mekt Ranzz,Unknown,Unknown,Supergirl and the Legion of Super-Heroes #25 (Feb. 2007),2006-12-27,DC Comics,bad,Male,Unknown,"[""6'3"", '191 cm']","['210 lb', '95 kg']",blue,red,Unknown,Unknown,"The Wanderers, former ally of the Legion of Super-Heroes.",Unknown,191.0,210.0
409,Living Brain,75.0,53.0,35.0,56.0,Unknown,Unknown,Unknown,Amazing Spider-Man #8 (1964),1963-10-08,Marvel Comics,bad,Unknown,Unknown,"[""6'6"", '198 cm']","['800 lb', '360 kg']",yellow,unknown,Robot,Unknown,Unknown,Unknown,198.0,800.0
412,Lizard,50.0,51.0,27.0,70.0,Curtis Connors,Unknown,"Coral Gables, Florida",Amazing Spider-Man #6,1963-08-06,Marvel Comics,bad,Male,Human,"[""6'8"", '203 cm']","['510 lb', '230 kg']",red,no hair,Research biologist,Florida,Unknown,"Martha (wife, deceased), Billy (son), unnamed sister",203.0,510.0
413,Lobo,94.0,100.0,54.0,100.0,Lobo,"The Main Man, The Bo, Master Frag, Mister Machete, Popebo; He-Who-Devours-Your-Entrails-And-Thoroughly-Enjoys-It",Unknown,Omega Men #3,1983-03-03,DC Comics,neutral,Male,Czarnian,"[""7'6"", '229 cm']","['640 lb', '288 kg']",red,black,"Assassin, Bounty Hunter, Priest",Mobile throughout several galaxies,"Formerly LEGION, Young Justice; First Celestial Church of the Triple Fish-God",Slobo (clone),229.0,640.0
414,Loki,88.0,63.0,46.0,85.0,Loki Laufeyson,"God of Mischief, Gem-Keeper, Walter Lawson, Lester, Loren Olsen, Tyfon, Father Williams, Willie, Tso Zhung; has also impersonated hundreds of others.","Jotunheim, Asgard",Journey into Mystery Vol. 1 #85,1962-07-31,Marvel Comics,bad,Male,Asgardian,"[""6'4"", '193 cm']","['525 lb', '236 kg']",green,black,God of evil; former god of mischief and madness,Asgard,"Asgardians, Karnilla, Enchantress, Skurge the Executioner, Cobra, Mister Hyde, Absorbing Man, Igron, Tyr, Lorelei, Hela, Ulik, Frost Giants, Storm Giants (former), Dormammu, ""Acts of Vengeance"" prime movers (Dr. Doom, Magneto, Red Skull, Mandari","Laufey (father, deceased), Farbauti (mother, deceased), Sigyn (wife, deceased), Odin (foster father, deceased), Frigga (foster mother, deceased), Thor, Vidar (foster brothers, deceased), Hela,Fenris (Wolf), Jordmungand (Midgard Serpent) (children, deceased), Arkin (cousin, deceased)",193.0,525.0
415,Longshot,50.0,10.0,27.0,10.0,Unknown,"The Lost Messiah, The Lucky One",Unknown,"Longshot #1 (September, 1985)",1985-06-18,Marvel Comics,good,Male,Human,"[""6'2"", '188 cm']","['80 lb', '36 kg']",blue,blond,"freedom fighter, stuntman rebel, adventurer","X-Factor Investigations Headquarters, New York City, New York; formerly Detroit, Michigan; mobile; Xavier's School for Gifted Youngsters, Salem Center, Westchester County, New York; Mojoverse; Cooterman's Creek, Australian Outback, Australia; Alcatraz I",X-Factor Investigations; rebel forces on his homeworld; formerly Exiles; X-Men,"Arize (creator), Alison Blaire (Dazzler) (wife), Gaveedra Seven (Shatterstar) (alleged son)",188.0,80.0
463,MODOK,100.0,18.0,25.0,25.0,George Tarleton,"M.O.D.O.K., Mental Organism Designed Only for Killing",Unknown,Tales of Suspense #93,1967-06-08,Marvel Comics,bad,Male,Cyborg,"[""12'0"", '366 cm']","['750 lb', '338 kg']",white,brownn,"Would-be conqueror, AIM leader, terrorist; former AIM agent, technician",Unknown,Unknown,"M.O.D.O.K. Superior (clone), Head Case (son), Number None (son)",366.0,750.0
421,Mach-IV,75.0,36.0,60.0,84.0,Abner Jenkins,"Beetle, MACH-I, MACH-II, MACH-III, Matthew","Baltimore, Maryland",(Beetle) Strange Tales #123 (1964); (MACH-I) Incredible Hulk #449 (1997); (MACH-II) Thunderbolts #37 (2000); (MACH-III) Thunderbolts #57 (2001); (MACH-IV) New Thunderbolts #1 (2005),1964-05-12,Marvel Comics,bad,Male,Unknown,"[""5'11"", '180 cm']","['175 lb', '79 kg']",brown,brown,"Adventurer; former master mechanic, professional criminal, mercenary",Unknown,"formerly Thunderbolts, Masters of Evil, Sinister Syndicate, Justin Hammer's Hit Squad, Maggia, Sinister Seven, Commission on Superhuman Activities, Defenders impersonators, Burton Canyon Police Department",Unknown,180.0,175.0
423,Magneto,88.0,80.0,27.0,84.0,Erik Magnus Lensherr,"The Creator, Erik Magnus Lehnsherr, Michael Xavier, White Pilgrim, Erik the RedThe Master of Magnetism","Unrevealed, probably somewhere in Northern Europe",X-MEN Vol. 1 #1,1963-07-02,Marvel Comics,bad,Male,Mutant,"[""6'2"", '188 cm']","['190 lb', '86 kg']",grey,white,"Currently Revolutionary and Conqueror, formerly Volunteer Orderly, Secret Agent","Currently unrevealed, formerly Asteroid M; various hidden bases on Earth including one in Antarctica; an island in the Bermuda Triangle; Professor Xavier's School for Gifted Youngsters, Salem Center, Westchester County, New York","Currently None, formerly Brotherhood of Evil Mutants I and II, X-Men, teacher of the New Mutants, Lords Cardinal of the Hellfire Club, leader of the Acolytes","Magda (wife, deceased), Anya (daughter, deceased), Pietro Maximoff (Quicksilver, son), Wanda Maximoff (Scarlet Witch, daughter), Lorna Dane (Polaris, daughter), Joseph (clone, deceased), Luna (granddaughter)",188.0,190.0
428,Man-Thing,50.0,32.0,8.0,100.0,Dr. Theodore Sallis,the Vagornus Koth; the Swamp Walker; Mr. Salad; Walking Mulch Heap,Unknown,"Savage Tales #1 (May, 1971)",1971-03-09,Marvel Comics,good,Male,Unknown,"[""7'0"", '213 cm']","['500 lb', '225 kg']",red,no hair,Unknown,"Man-Thing's Swamp, Citrusville, Florida","Thunderbolts, Legion of Monsters, Daydreamers",Ellen Brandt (ex-wife) Job Burke (son),213.0,500.0
429,Man-Wolf,63.0,44.0,35.0,42.0,John Jameson,"Stargod, Vanwolf, Skywolf","New York, New York","AMAZING SPIDER-MAN #1, (as Man-Wolf) AMAZING SPIDER-MAN #124",1962-12-10,Marvel Comics,good,Male,Unknown,"[""6'2'"", '188 cm']","['200 lb', '90 kg']",brown,auburn,"Employed by Dept. of Social Services, Queens; former astronaut, test pilot, security chief for Ravenscroft Institute",Queens,"Ravencroft Insitute Staff, Avengers Support Crew, NASA, USAF","J. Jonah (father), Joan (mother, deceased), Marla Madison (stepmother), David (paternal grandfather, presumed deceased), Betty (paternal grandmother, presumed deceased)",188.0,200.0
430,Mandarin,100.0,28.0,23.0,28.0,Khan,"Tem Borjigin, Gene Kahn, Master Khan, Zhang Tong, Mandy",China,"Tales of Suspense #50 (February, 1964)",1963-11-12,Marvel Comics,bad,Male,Human,"[""6'2"", '188 cm']","['215 lb', '97 kg']",blue,white,"Would-be conqueror; former janitor, businessman and crimelord, government administrator",Prometheus Corporation; formerly Dragon of Heaven; Palace of the Star Dragon in the Valley of Spirits.,"current CEO of Prometheus Corporation; has employed the Avatars, Living Laser, Power Man, Swordsman, Enchantress, Executioner, Sandman, and Ladykiller.","Unidentified father, mother, paternal aunt (all deceased). Mei-Ling (fianc�e, deceased), Temujin (son), Genghis Khan (alleged ancestor, deceased)",188.0,215.0
431,Mantis,63.0,8.0,33.0,80.0,Unknown,"Celestial Madonna, Willow, Lorelei, Mandy Celestine, This One (in referring to herself)",Vietnam,Avengers #112,1973-03-13,Marvel Comics,good,Female,Human-Kree,"[""5'6"", '168 cm']","['115 lb', '52 kg']",green,black,"Celestial Madonna, former adventuress, former bar-maid/prostitute/exotic dancer",Mobile,Unknown,"Libra (Gustav Brandt) (father), Lau Brandt (mother), Cotati possessing Jacques Duquesne (husband), Quoi (son)",168.0,115.0
432,Martian Manhunter,100.0,95.0,92.0,100.0,J'onn J'onzz,"ohn Jones; JOnn JOnzz (alternate spelling); Big Green Buddy; J.J.; Jolly Green Giant; Light to the Light; Manhunter; Manhunter from Mars; Son of Mars; Bronze Wraith, Bloodwynd, many others",Unknown,Detective Comics #225 (1955),1955-09-13,DC Comics,good,Male,Martian,"[""6'7"", '201 cm']","['300 lb', '135 kg']",red,no hair,Unknown,Unknown,"Darkstars, Justice League of Aliens, Justice League Of America, Justice League Task Force, Justice League Unlimited, Martians, Outsiders","M'yrnn J'onzz (father, deceased); Sha'sheen J'onzz (mother, deceased); M'yri'ah (wife, deceased); K'hym (daughter, deceased); Ma'alefa'ak (twin brother); D'all (father-in-law, deceased); J'ahrl J'onzz (ancestor, deceased)",201.0,300.0
433,Marvel Girl,63.0,85.0,47.0,42.0,Rachel Anne Summers,"Rachel Grey, formerly Phoenix, Mother Askani, Bright Lady, Alyzrn Summerset",Unknown,UNCANNY X-MEN #141,1980-10-14,Marvel Comics,good,Female,Unknown,"[""5'7'"", '170 cm']","['125 lb', '56 kg']",green,red,Adventurer,"Xavier Institute of Higher Learning, Salem Center, Westchester County, New York (formerly) Braddock Lighthouse, England","Starjammers, formerly X-Men, former servant of Elias Bogan, formerly Clan Askani (leader), Excalibur, former servant of Ahab","Scott Summers (Cyclops, alternate timeline father, deceased in own time), Jean Grey-Summers (Phoenix, alternate timeline mother, deceased in own time), Alex Summers (Havok, alternate timeline uncle), Franklin Richards (alternate future husband), Jonathan Reed Richards (Hyperstorm, alternate future son), David Richards (alternate future son)",170.0,125.0
438,Maverick,63.0,10.0,12.0,42.0,Christopher Bradley,"Chris, Bolt",Unknown,X-Men Unlimited #8 (1995),1995-10-04,Marvel Comics,good,Male,Unknown,"[""6'4"", '193 cm']","['244 lb', '110 kg']",blue,black,"Mercenary; former adventurer, student",Unknown,"(As Maverick) Formerly Gene Nation, Cable�s Underground; (as Bolt) formerly New Warriors","Robert Bradley (Frank Johnson, father), Marion Bradley (Rose Johnson, mother), Catherine Bradley (Jennifer Johnson, sister)",193.0,244.0
441,Medusa,75.0,34.0,35.0,70.0,Medusalith Amaquelin Boltagon,"Madam Medusa, Queen Medusa","Island of Attilan, Atlantic Ocean",Fantastic Four Vol. 1 #36 (1965),1964-12-10,Marvel Comics,good,Female,Inhuman,"[""5'11"", '180 cm']","['130 lb', '59 kg']",green,red,"Queen, Royal interpreter",Attilan,"Inhumans, Fantastic Four","Kobar, La (maternal grandparents), Azur (maternal aunt), Mander (maternal uncle-by-marriage), Quelin (father), Ambur (mother), Crystal (sister), Black Bolt (husband, second cousin), Ahura (son), Karnak (cousin), Triton (cousin), Psynapse (second cousin), Maximus (brother-in-law, second cousin), Ronan the Accuser (brother-in-law), Quicksilver (ex-brother-in-law), Luna (niece)",180.0,130.0
444,Mera,56.0,62.0,79.0,60.0,Mera,"Queen of Atlantis, Aquawoman, Aquagirl, Water-Woman",Unknown,"Aquaman #11 (October, 1963)",1963-08-08,DC Comics,good,Female,Atlantean,"[""5'9"", '175 cm']","['160 lb', '72 kg']",blue,red,Former queen of Atlantis; Former queen of Dimension Aqua,Atlantis,Aquaman Family; formerly Red Lantern Corps,"Aquaman (husband); Aquababy (son, deceased); A.J. (son); Siren (Hila, twin sister)",175.0,160.0
445,Metallo,75.0,53.0,23.0,95.0,John Corben,Unknown,Unknown,"Superman Vol 2 #1 (January, 1987)",1986-10-09,DC Comics,bad,Male,Android,"[""6'5"", '196 cm']","['200 lb', '90 kg']",green,brown,Professional criminal,"Mobile, though he generally operates out of Metropolis",Superman Revenge Squad,Unknown,196.0,200.0
448,Metron,88.0,10.0,47.0,56.0,Metron,Unknown,Unknown,"New Gods vol. 1 #1 (February-March, 1971)",1970-12-01,DC Comics,good,Male,Unknown,"[""6'1"", '185 cm']","['190 lb', '86 kg']",blue,black,"Scientist, seeker of knowledge","Supertown, New Genesis",New Gods,Unknown,185.0,190.0
451,Micro Lad,38.0,28.0,27.0,28.0,Gim Allon,"Colossal Boy (mostly known as Colossal Boy, although he dislikes that name himself)",Unknown,Teen Titans/Legion Special #1 (2004),2004-12-15,DC Comics,good,Male,Unknown,"[""6'"", '183 cm']","['170 lb', '77 kg']",grey,brown,Unknown,"United Planets, 31st century",Legion of Super-Heroes,Unknown,183.0,170.0
452,Mimic,63.0,67.0,47.0,56.0,Calvin Montgomery Rankin,"Cal, Wolverine, Calvin Rankin","Passiac, New Jersey",Uncanny X-Men #19,1966-01-04,Marvel Comics,good,Male,Unknown,"[""6'2"", '188 cm']","['225 lb', '101 kg']",brown,brown,Unknown,Unknown,"Formerly Brotherhood Of Mutants, Excalibur, X-Men, former agent of Onslaught and Sledge","Ronald Rankin (father, deceased)",188.0,225.0
455,Miss Martian,63.0,85.0,58.0,100.0,M'gann M'orzz,"Megan Morse; MGann MOrzz (alternate spelling); Martian Girlhunter; Martian Manhunter (Titans Tomorrow alias), Star-Spangled Kid",Mars,"Teen Titans Vol 3 #37 (August, 2006)",2006-06-14,DC Comics,good,Female,Unknown,"[""5'10"", '178 cm']","['135 lb', '61 kg']",red,red,Adventurer,"Arizona; San Francisco, California; formerly the Tanami Desert, Australia",Teen Titans,Unknown,178.0,135.0
456,Mister Fantastic,100.0,10.0,18.0,70.0,Reed Richards,Mr Fantastic,"Central City, California",FANTASTIC FOUR #1,1961-08-08,Marvel Comics,good,Male,Human / Radiation,"[""6'1"", '185 cm']","['180 lb', '81 kg']",brown,brown,"Scientist, adventurer",New York City,Fantastic Four,"Nathaniai (father), Evelyn (mother, deceased), Susan Storm - Invisible Woman (wife), Franklin (son), Johnny Storm - Human Torch (brother-inlaw), Cassandra (stepmother, deceased), Immortus (father's descendant, see Immortus, Kang, Rama-Tut).",185.0,180.0
457,Mister Freeze,75.0,32.0,12.0,70.0,Victor Fries,"Mister Zero, Doctor Zero, Doctor Schimmell",Unknown,Batman #121 (Feb. 1959),1958-12-18,DC Comics,bad,Male,Human,"[""6'0"", '183 cm']","['190 lb', '86 kg']",unknown,unknown,Unknown,Unknown,"Assorted Batman rogues, The Society","Nora Fries (wife, deceased, then resurrected as Lazara), Charles (Father) and Lorraine Fries (Mother)",183.0,190.0
460,Mister Sinister,100.0,48.0,46.0,90.0,Nathaniel Essex,"Sinister, Robert Windsor, Arnold Bocklin, Mike Milbury, Apocalypse, Steven Shaffran, Edmond Atkinson, Nate, Administrator Pearson, Nosferatu, Nathan Milbury, Pale Man","London, England","Uncanny X-Men #221 (September, 1987)",1987-06-09,Marvel Comics,bad,Male,Human / Altered,"[""6'5"", '196 cm']","['285 lb', '128 kg']",red,black,"Geneticist, Criminal, biologist and mutant-supremacist",Many bases throughout the world including his State Home for Foundlings and the Center for Homo Superior Medical Care.,"Marauders (founder), Nasty Boys (founder); formerly Weapon X, Third Reich","Rebecca Essex (wife, deceased), Adam Stanislaus Essex (son, deceased), N2 (creation, deceased), Madelyne Pryor (creation, deceased), Claudine Renko (clone ""daughter"")",196.0,285.0
462,Mockingbird,75.0,31.0,38.0,20.0,Barbara Morse,"Barbara Morse-Barton, Roberta Morse, Agent 19, Huntress, Bobbi Van Dyne; once posed as Shooting Star","San Diego, California","Astonishing Tales #6 (June, 1971)",1971-03-09,Marvel Comics,good,Female,Human,"[""5'9"", '175 cm']","['135 lb', '61 kg']",blue,blond,"Adventurer; former counter-terrorist agent, private investigator, government operative, S.H.I.E.L.D. agent, biologist","New York City, New York","World Counterterrorism Agency; formerly Secret Avengers, New Avengers, West Coast Avengers, Avengers, Great Lakes Avengers, S.H.I.E.L.D.; partner of Hawkeye; associate of Dr. Wilma Calvin",Susan Morse (mother); Ben Morse (brother); Hawkeye (Clint Barton) (ex-husband),175.0,135.0
467,Molten Man,50.0,73.0,23.0,84.0,Mark Raxton,Unknown,Unknown,Amazing Spider-Man #28 (1965),1965-06-08,Marvel Comics,bad,Male,Unknown,"[""6'5"", '196 cm']","['550 lb', '248 kg']",gold,gold,"Security guard for Osborn industries, former criminal, lab assistant",Unknown,Exterminators,"Doris Raxton (mother), Liz Allan Osborn (step-sister), Harry Osborn (Green Goblin II , step-brother-in-law, deceased), Norman Osborn Jr. (Green Goblin I, step-nephew)",196.0,550.0
470,Moon Knight,50.0,36.0,23.0,42.0,Marc Spector,"Jake Lockley, Steven Grant, Yitzak Topol, Fist of Khonshu, Crescent Crusader, Lunar Legionnaire","Chicago, Illinois","Werewolf by Night #32 (August, 1975)",1975-05-07,Marvel Comics,good,Male,Human,"[""6'2"", '188 cm']","['225 lb', '101 kg']",brown,brown,"Adventurer, entrepreneur; former prize fighter, spy, soldier, mercenary, cab driver","New York City; formerly Spector Mansion, Long Island, Avengers Compound, California","Secret Avengers; formerly: US Marine Corps, Central Intelligence Agency (CIA), partner of Jean-Paul du Champ, partner of Raoul Bushman, partner of Midnight, West Coast Avengers, Marvel Knights, Defenders","Shadowknight (Randall Spector) (brother, deceased), Elias (father, deceased), Seth Phalkon (alleged great-great-grandfather)",188.0,225.0
471,Moonstone,56.0,67.0,47.0,52.0,Karla Sofen,"Meteorite,  Kate Sorenson","Van Nuys, California","Captain America Vol. 1 #192 (December, 1975)",1975-09-09,Marvel Comics,bad,Female,Unknown,"[""5'11"", '180 cm']","['130 lb', '59 kg']",blue,blond,"former Adventurer, Psychiatrist",formerly Mount Charteris; Four Freedoms Plaza,"Dark Avengers, Formerly; Thunderbolts, Femizons, Masters of Evil, Doctor Faustus, the Corporation, former partner of Blackout (Marcus Daniels)","Karl August Sofen (father), Marion Sofen (mother), unnamed maternal grandparents (only mentioned )",180.0,130.0
472,Morlun,63.0,60.0,35.0,42.0,Morlun,Unknown,Unknown,Amazing Spider-Man #30 (2001),2001-04-11,Marvel Comics,bad,Male,Unknown,"[""6'2"", '188 cm']","['175 lb', '79 kg']",white / red,black,Unknown,Unknown,Unknown,Unknown,188.0,175.0
474,Moses Magnum,75.0,28.0,12.0,42.0,Moses Magnum,"Magnum Force,",Unknown,Giant-Size Spider-Man #4 (1975),1975-01-14,Marvel Comics,bad,Male,Unknown,"[""5'9"", '175 cm']","['159 lb', '72 kg']",brown,black,"Terrorist, president of Magnum Munitions; former ruler of Canaan",Unknown,"Magnum Force (leader), agent of Apocalypse; former agent of They Who Wield Power",Unknown,175.0,159.0
475,Mr Immortal,50.0,10.0,8.0,100.0,Craig Hollis,Unknown,Unknown,West Coast Avengers Vol 2 #46,1989-05-02,Marvel Comics,good,Male,Mutant,"[""6'2"", '188 cm']","['156 lb', '70 kg']",blue,blond,Unknown,Unknown,Unknown,Unknown,188.0,156.0
478,Multiple Man,63.0,11.0,23.0,70.0,James Arthur,Unknown,"Los Alamos, New Mexico",GIANT-SIZE FANTASTIC FOUR #4,1974-11-05,Marvel Comics,good,Male,Unknown,"[""5'11'"", '180 cm']","['155 lb', '70 kg']",blue,brown,"Private investigator (formerly) Farmer, Adventurer",New York City,"X-Factor Investigations (formerly) X-Factor, Fallen Angels, X-Corps, X-Corporation","Dr. Daniel Madrox (father, deceased), Joan Madrox (mother, deceased)",180.0,155.0
479,Mysterio,81.0,10.0,17.0,40.0,Quentin Beck,"Nicholas Macabes, Rudolph Hines, Gerdes, Doctor Ludwig Rinehart","New York, New York",Amazing Spider-Man #13 (1964),1964-03-10,Marvel Comics,bad,Male,Human,"[""5'11"", '180 cm']","['175 lb', '79 kg']",brown,no hair,Criminal; former Hollywood special effects designer and stunt man,"New York City, New York State (Earth-1610) formerly New York City, New York (Earth-616)",None; Former Sinister Six,"Henrietta Beck (mother), Elmore Beck (father), Vincent (uncle), Maguire Beck (Jack O'Lantern) (cousin)",180.0,175.0
480,Mystique,75.0,12.0,23.0,64.0,Raven Darkholme,Mallory Brickman,Unknown,"(as Raven Darkholme) MS. MARVEL #16, (as Mystique) MS. MARVEL #18",1978-02-14,Marvel Comics,bad,Female,Mutant,"[""5'10"", '178 cm']","['120 lb', '54 kg']",yellow (without irises),red / orange,"Special operative for Germany and the United States governments, (former) German Freedom Fighter, special operative in the Weapon X Project Team","Arlington, Virginia","Founder and leader of the third Brotherhood of Evil Mutants, now known as Freedom Force; X-Factor, X-Men","Rogue (unofficial foster daughter), Ralph Brickman (husband), Gloria Brickman (daughter), Graydon Creed (son, deceased)",178.0,120.0
